items_edmPreview,items_title,items_country,items_dataProvider,items_type,items_id,items_edmTimespanLabelLangAware_def,items_dcCreator
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F188%2F139%2F2%2Fa01eb48c763724b079f028a7d4d6783d%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La musique du jour,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1881392,2013,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F179%2F223%2F3%2F0807a830f5dfea3f5b9594853451bd48%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,Salut les Copains : Les années liberté - Les premières minutes,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1792233,2013,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F178%2F364%2F4%2F3457d424f83888e79bafa145674a2b0b%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La Télé de A@Z: Cool Attitude (n°88) - D comme Dutronc,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1783644,2012,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F176%2F688%2F5%2F3428abb627f79b42d4c881618f644750%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La Télé de A@Z: Premières fois (n°81) - T comme Trouille,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1766885,2012,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F173%2F111%2F5%2F76dcf103f7ef2ce9515fa32dd377a4c2%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La Télé de A@Z: Wallons (n°76) - K comme Karaoké,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1731115,2012,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F132%2F429%2F3%2Ff4ca34d4ed5fa65e75bb39e90610e03c%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,Thomas Dutronc sort son 2e album,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1324293,2011,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F132%2F293%2F3%2Ff3f509bfa0e21541b97338cc0e807f74%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,Le nouvel album Thomas Dutronc,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1322933,2011,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F108%2F161%2F3%2Fc96bf4cf8e1ac7a578bd5b55e23be92e%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La Télé de A @ Z - Nos amies les bêtes (n°43) - A comme Acteurs,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1081613,2011,
,Une historie simple,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016001300,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Ma premiere guitare,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016001400,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Songe d'automne,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016001200,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Place de broukere,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016001100,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Envie de toi,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000700,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Artillerie Lourde,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016001000,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Laura,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000900,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Minor swing,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000800,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Les yeux noirs,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000600,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Ou es-tu mon amour?,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000500,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Babik,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000400,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Bei dir war es immer so schon,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000300,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.internetculturale.it%2Fjmms%2Fthumbnail%3Ftype%3Dweb%26id%3Doai%253A192.168.10.31%253A22%253ARM0200%253AIT-DDS0000071016000000%26teca%3DICBSA&size=LARGE&type=SOUND,Gipsy Project & Friends / Bireli Lagrene,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000000,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,When day is done,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000200,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
,Djangology,italy,Internet Culturale,SOUND,/2059218/data_sounds_IT_DDS0000071016000100,2002,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,París al habla. Nº 26/68,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_32944,1968,"Radio Alcoy Office de radiodiffusion-télévision française Dutronc, Jacques (1943-) Calabuig, Salvador http://data.europeana.eu/agent/base/68098"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,Cita en París. Nº 21/68,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_32930,1968,"Office de radiodiffusion-télévision française Radio Alcoy Mallet-Joris, Françoise Chao, Ramón Prada, Myriam de la (1938-2005) Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,Cita en París. Nº 29/67,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_32872,1967,"Office de radiodiffusion-télévision française Radio Alcoy Chao, Ramón Prada, Myriam de la (1938-2005) Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,París al habla. Nº 1/68,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_32671,1968,"Office de radiodiffusion-télévision française Radio Alcoy Fernandel, Franck (1935-) Chao, Ramón Dutronc, Jacques (1943-) Cara, Jean Paul (1939 http://data.europeana.eu/agent/base/68098 http://data.europeana.eu/agent/base/26075"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,Cita en París. Nº 37/67,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_32836,1967,"Office de radiodiffusion-télévision française Radio Alcoy Sheila (1946-) Prada, Myriam de la (1938-2005) Blain, Estella Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/65429 http://data.europeana.eu/agent/base/68098"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,París al habla. Nº 34/69,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_30835,1969,"Radio Alcoy Office de radiodiffusion-télévision française Chiquita Antoine Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,París al habla. Nº 21/69,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_30809,1969,"Radio Alcoy Office de radiodiffusion-télévision française Aldave, Pascual (1924-) Nougaro, Claude Dutronc, Jacques (1943-) Hallyday, Johnny Hardy, Françoise http://data.europeana.eu/agent/base/64738 http://data.europeana.eu/agent/base/68098 http://data.europeana.eu/agent/base/61053 http://data.europeana.eu/agent/base/52173"
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,París al habla. Nº 20/69,spain,Universidad de Alicante. Biblioteca Universitaria,SOUND,/2022701/oai_rua_ua_es_10045_30801,1969,"Radio Alcoy Office de radiodiffusion-télévision française Chao, Ramón Colombo, Pia Clerc, Julien Gall, France Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/83819 http://data.europeana.eu/agent/base/63196 http://data.europeana.eu/agent/base/68098"
