items_dataProvider,items_country,items_dcCreator,items_edmTimespanLabelLangAware_def,items_id,items_title,items_edmPreview,items_type
Deutsches Filminstitut - DIF,germany,,1976,/08604/8866DD4D27434168A16DAFD09854FE1E_1_003928,Michel Piccoli,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F8866DD4D27434168A16DAFD09854FE1E_1-003928.jpg&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_D12619F597394F0C968C48D2275FED37,Ep. 12; Jacques Dutronc 2 Afl 12; Jacques Dutronc SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3171%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_AB9610BE7DF248ABA28244BEB3DFD3E2,Ep. 12; Jacques Dutronc 4 Afl 12; Jacques Dutronc 3 SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3142%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_88E1AE12104F4EA5990A32B5CE54F60C,Ep. 12; Jacques Dutronc and cameras Afl 12; Jacques Dutronc en camera's SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F2195%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_4FB576B2FA534554912D13C68D6B9574,Ep. 12; Jacques Dutronc and camera Afl 12; Jacques Dutronc en camera SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F1291%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_4E1CB045782448E39AC3A810E6A97ED2,Ep. 12; Jacques Dutronc Afl 12; Jacques Dutronc SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3254%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_217AA2CB436B4B63ABB2C1D53AAB3C2C,Ep. 12; Jacques Dutronc with Judith Bosch Afl 12; Jacques Dutronc met Judith Bosch SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F1329%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
Netherlands Institute for Sound and Vision,europe,,1966,/2051943/EUS_055BAFB09A0A4FC6B767F24682493287,Ep. 12; Jacques Dutronc 3 Afl 12; Jacques Dutronc 2 SERIES TITLE: Fanclub Fanclub,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F2792%2Fraw.png&size=LARGE&type=IMAGE,IMAGE
RTBF,belgium,,2010,/2051911/data_euscreenXL_457142,La télé de A @ Z n°21 - O comme opportuniste,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F457%2F142%2F751b16001743bd2348bdb299bce63ff1%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2014,/2051911/data_euscreenXL_1900694,La Télé de A@Z : Premier succès (n° 121) - D comme Dutronc Thomas,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F190%2F069%2F4%2F884a69152c753e2352e62c8e14280c12%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2013,/2051911/data_euscreenXL_1881392,La musique du jour,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F188%2F139%2F2%2Fa01eb48c763724b079f028a7d4d6783d%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2013,/2051911/data_euscreenXL_1792233,Salut les Copains : Les années liberté - Les premières minutes,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F179%2F223%2F3%2F0807a830f5dfea3f5b9594853451bd48%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2012,/2051911/data_euscreenXL_1783644,La Télé de A@Z: Cool Attitude (n°88) - D comme Dutronc,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F178%2F364%2F4%2F3457d424f83888e79bafa145674a2b0b%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2012,/2051911/data_euscreenXL_1766885,La Télé de A@Z: Premières fois (n°81) - T comme Trouille,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F176%2F688%2F5%2F3428abb627f79b42d4c881618f644750%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2012,/2051911/data_euscreenXL_1731115,La Télé de A@Z: Wallons (n°76) - K comme Karaoké,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F173%2F111%2F5%2F76dcf103f7ef2ce9515fa32dd377a4c2%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2011,/2051911/data_euscreenXL_1324293,Thomas Dutronc sort son 2e album,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F132%2F429%2F3%2Ff4ca34d4ed5fa65e75bb39e90610e03c%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2011,/2051911/data_euscreenXL_1322933,Le nouvel album Thomas Dutronc,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F132%2F293%2F3%2Ff3f509bfa0e21541b97338cc0e807f74%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
RTBF,belgium,,2011,/2051911/data_euscreenXL_1081613,La Télé de A @ Z - Nos amies les bêtes (n°43) - A comme Acteurs,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F108%2F161%2F3%2Fc96bf4cf8e1ac7a578bd5b55e23be92e%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,VIDEO
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016001300,Une historie simple,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016001400,Ma premiere guitare,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016001200,Songe d'automne,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016001100,Place de broukere,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000700,Envie de toi,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016001000,Artillerie Lourde,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000900,Laura,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000800,Minor swing,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000600,Les yeux noirs,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000500,Ou es-tu mon amour?,,SOUND
Internet Culturale,italy,"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",2002,/2059218/data_sounds_IT_DDS0000071016000400,Babik,,SOUND
