items_dcCreator,items_id,items_type,items_dataProvider,items_edmPreview,items_country,items_title,items_edmTimespanLabelLangAware_def
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016001300,SOUND,Internet Culturale,,italy,Une historie simple,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016001400,SOUND,Internet Culturale,,italy,Ma premiere guitare,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016001200,SOUND,Internet Culturale,,italy,Songe d'automne,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016001100,SOUND,Internet Culturale,,italy,Place de broukere,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000700,SOUND,Internet Culturale,,italy,Envie de toi,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016001000,SOUND,Internet Culturale,,italy,Artillerie Lourde,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000900,SOUND,Internet Culturale,,italy,Laura,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000800,SOUND,Internet Culturale,,italy,Minor swing,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000600,SOUND,Internet Culturale,,italy,Les yeux noirs,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000500,SOUND,Internet Culturale,,italy,Ou es-tu mon amour?,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000400,SOUND,Internet Culturale,,italy,Babik,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000300,SOUND,Internet Culturale,,italy,Bei dir war es immer so schon,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000000,SOUND,Internet Culturale,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fwww.internetculturale.it%2Fjmms%2Fthumbnail%3Ftype%3Dweb%26id%3Doai%253A192.168.10.31%253A22%253ARM0200%253AIT-DDS0000071016000000%26teca%3DICBSA&size=LARGE&type=SOUND,italy,Gipsy Project & Friends / Bireli Lagrene,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000200,SOUND,Internet Culturale,,italy,When day is done,2002
"Lagrene, Bireli http://data.europeana.eu/agent/base/52003",/2059218/data_sounds_IT_DDS0000071016000100,SOUND,Internet Culturale,,italy,Djangology,2002
"Radio Alcoy Office de radiodiffusion-télévision française Dutronc, Jacques (1943-) Calabuig, Salvador http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_32944,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,París al habla. Nº 26/68,1968
"Office de radiodiffusion-télévision française Radio Alcoy Mallet-Joris, Françoise Chao, Ramón Prada, Myriam de la (1938-2005) Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_32930,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,Cita en París. Nº 21/68,1968
"Office de radiodiffusion-télévision française Radio Alcoy Chao, Ramón Prada, Myriam de la (1938-2005) Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_32872,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,Cita en París. Nº 29/67,1967
"Office de radiodiffusion-télévision française Radio Alcoy Fernandel, Franck (1935-) Chao, Ramón Dutronc, Jacques (1943-) Cara, Jean Paul (1939 http://data.europeana.eu/agent/base/68098 http://data.europeana.eu/agent/base/26075",/2022701/oai_rua_ua_es_10045_32671,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,París al habla. Nº 1/68,1968
"Office de radiodiffusion-télévision française Radio Alcoy Sheila (1946-) Prada, Myriam de la (1938-2005) Blain, Estella Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/65429 http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_32836,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,Cita en París. Nº 37/67,1967
"Radio Alcoy Office de radiodiffusion-télévision française Chiquita Antoine Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_30835,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,París al habla. Nº 34/69,1969
"Radio Alcoy Office de radiodiffusion-télévision française Aldave, Pascual (1924-) Nougaro, Claude Dutronc, Jacques (1943-) Hallyday, Johnny Hardy, Françoise http://data.europeana.eu/agent/base/64738 http://data.europeana.eu/agent/base/68098 http://data.europeana.eu/agent/base/61053 http://data.europeana.eu/agent/base/52173",/2022701/oai_rua_ua_es_10045_30809,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,París al habla. Nº 21/69,1969
"Radio Alcoy Office de radiodiffusion-télévision française Chao, Ramón Colombo, Pia Clerc, Julien Gall, France Dutronc, Jacques (1943-) http://data.europeana.eu/agent/base/83819 http://data.europeana.eu/agent/base/63196 http://data.europeana.eu/agent/base/68098",/2022701/oai_rua_ua_es_10045_30801,SOUND,Universidad de Alicante. Biblioteca Universitaria,https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fdevuelvemelavoz.ua.es%2Fes%2Fimagenes%2Fdevuelveme-la-voz-imagen-corporativa.jpg%3FnoCache%3D1381913779057&size=LARGE&type=SOUND,spain,París al habla. Nº 20/69,1969
